sample_id	sample_name	alias	development_phase	mechanistic_class	mechanisms_cellular	target_class	gene_symbol_1	gene_symbol_2	gene_symbol_3	gene_symbol_4	gene_symbol_5	moa1	moa2	moa3	moa4	moa5	binary_pharmacology	general_indication	cas	target_subcat	class	primary_mechanism	additional_mechanisms	mechanisms_cellular_apoptosis	mechanisms_cellular_angiogenesis	mechanisms_cellular_signal_transduction
NCGC00092381-03	ABT-702	NA	Preclinical	Cell signaling	NA	Kinase	ADK	NA	NA	NA	NA	Adenosine Kinase Inhibitor	NA	NA	NA	NA	Inhibitor	Neurological Disorders	1188890-28-9	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00018117-23	Theophyllamine	NA	Approved	Cell signaling	Signal Transduction Modulators	GPCR signaling	ADORA1	CHIA	NA	NA	NA	Adenosine Receptor A1 Antagonist	Acidic mammalian chitinase Inhibitor	GABA(A) Receptor Antagonist	NA	NA	Antagonist	Neurological Disorders	317-34-0	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00023673-08	Adenosine	NA	Approved	Cell signaling	NA	GPCR signaling	ADORA1	NA	NA	NA	NA	Adenosine Receptor A1 Agonist	NA	NA	NA	NA	Agonist	Neurological Disorders	58-61-7	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00263139-01	Rolofylline	MK-7418	Phase III	Cell signaling	Signal Transduction Modulators	GPCR signaling	ADORA1	NA	NA	NA	NA	Adenosine Receptor A1 Antagonist	NA	NA	NA	NA	Antagonist	Neurological Disorders	136199-02-5	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00253737-01	Istradefylline	KW-6002	Approved	Cell signaling	Signal Transduction Modulators	GPCR signaling	ADORA2A	NA	NA	NA	NA	Adenosine Receptor A2A Antagonist	NA	NA	NA	NA	Antagonist	Neurological Disorders	155270-99-8	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00024976-04	CGS-21680	NA	Preclinical	Cell signaling	Signal Transduction Modulators	GPCR signaling	ADORA2A	NA	NA	NA	NA	Adenosine Receptor A2A Agonist	NA	NA	NA	NA	Agonist	Neurological Disorders	124431-80-7	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00345800-01	GS-6201	CVT-6883	Phase I	Cell signaling	Signal Transduction Modulators	GPCR signaling	ADORA2B	NA	NA	NA	NA	Adenosine Receptor A2B Antagonist	NA	NA	NA	NA	Antagonist	Neurological Disorders	752222-83-6	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00165880-04	Reversine	NA	Preclinical	Cell signaling	Antimitotic Drugs|Differentiation Inhibitors|Signal Transduction Modulators|	GPCR signaling	ADORA3	AURKA	AURKB	NA	NA	Adenosine Receptor A3 Antagonist	Aurora kinase A Inhibitor	Aurora kinase B Inhibitor	NA	NA	Antagonist	Neurological Disorders	656820-32-5	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00015121-16	Phenoxybenzamine	NA	Approved	Cell signaling	NA	GPCR signaling	ADRA1A	NA	NA	NA	NA	Alpha-1A Adrenergic Receptor Antagonist	NA	NA	NA	NA	Antagonist	Neurological Disorders	63-92-3	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00015766-08	Oxymetazoline	NA	Approved	Cell signaling	Signal Transduction Modulators	GPCR signaling	ADRA1A	ADRA2A	NA	NA	NA	Alpha-1A Adrenergic Receptor Agonist	Alpha-2A Adrenergic Receptor Agonist	NA	NA	NA	Agonist	Neurological Disorders	1491-59-4	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00016311-16	Phentolamine	NV-101	Approved	Cell signaling	Signal Transduction Modulators	GPCR signaling	ADRA1A	NA	NA	NA	NA	Alpha-1A Adrenergic Receptor Antagonist	NA	NA	NA	NA	Antagonist	Neurological Disorders	65-28-1	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00024257-07	Phenylephrine	NA	Approved	Cell signaling	Signal Transduction Modulators	GPCR signaling	ADRA1A	HRH1	CYP3A4	NA	NA	Alpha-1A Adrenergic Receptor Ligand	Histamine H1 Receptor Antagonist	Cytochrome P450 CYP3A4 Inhibitor	Monoamine oxidase Inhibitor	Alpha-1 Adrenergic Receptor Agonist	Agonist	Neurological Disorders	61-76-7	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00142615-03	Epinephrine	NA	Approved	Cell signaling	NA	GPCR signaling	ADRA1A	NA	NA	NA	NA	Alpha-1A Adrenergic Receptor Agonist	NA	NA	NA	NA	Agonist	Neurological Disorders	51-42-3	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00159406-11	Noradrenaline	Norepinephrine	Approved	Cell signaling	Signal Transduction Modulators	GPCR signaling	ADRA1A	NA	NA	NA	NA	Alpha-1A Adrenergic Receptor Agonist	Beta-Adrenergic Receptor Agonist	NA	NA	NA	Agonist	Neurological Disorders	51-40-1	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00188863-01	Dronedarone	SR-33589	Approved	Cell signaling	Signal Transduction Modulators	GPCR signaling	ADRA1A	CYP2D6	ADRB1	ABCB1	NA	Alpha-1A Adrenergic Receptor Antagonist	Cytochrome P450 CYP2D6 Inhibitor	Beta Adrenergic Receptor Agonist	Multidrug resistance protein 1 Inhibitor	Alpha-Adrenergic Receptor Antagonist	Antagonist	Neurological Disorders	141625-93-6	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00015718-06	Naftopidil	NA	Approved	Cell signaling	Signal Transduction Modulators	GPCR signaling	ADRA1D	CYP2C9	NA	NA	NA	Alpha-1D Adrenergic Receptor Antagonist	Cytochrome P450 family 2 subfamily A member 9 Inhibitor	NA	NA	NA	Antagonist	Neurological Disorders	57149-07-02	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00016101-09	Xylometazoline	NA	Approved	Cell signaling	Signal Transduction Modulators	GPCR signaling	ADRA2A	ADRA2B	ADRA2C	NA	NA	Alpha-2A Adrenergic Receptor Agonist	Alpha-2A Adrenergic Receptor Agonist	Alpha-2C Adrenergic Receptor Agonist	NA	NA	Agonist	Neurological Disorders	1218-35-5	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00025018-09	Yohimbine	NA	Approved	Cell signaling	Signal Transduction Modulators	GPCR signaling	ADRA2A	NA	NA	NA	NA	Alpha-2 Adrenergic Receptor Antagonist	NA	NA	NA	NA	Antagonist	Neurological Disorders	65-19-0	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00160529-05	Tizanidine	NA	Approved	Cell signaling	Signal Transduction Modulators	GPCR signaling	ADRA2A	NA	NA	NA	NA	Alpha-2 Adrenergic Receptor Agonist	NA	NA	NA	NA	Agonist	Neurological Disorders	64461-82-1	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00015159-06	Betaxolol	NA	Approved	Cell signaling	Signal Transduction Modulators	GPCR signaling	ADRB1	NA	NA	NA	NA	Beta-1 Adrenergic Receptor Antagonist	NA	NA	NA	NA	Antagonist	Neurological Disorders	63659-19-8	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00015558-06	Isoprenaline	NA	Approved	Cell signaling	NA	GPCR signaling	ADRB1	NA	NA	NA	NA	Beta-1 Adrenergic Receptor Agonist	NA	NA	NA	NA	Agonist	Neurological Disorders	51-30-9	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00015919-04	Sotalol	MJ-1999	Approved	Cell signaling	Signal Transduction Modulators	GPCR signaling	ADRB1	NA	NA	NA	NA	Beta-1 Adrenergic Receptor Antagonist	NA	NA	NA	NA	Antagonist	Neurological Disorders	959-24-0	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00015887-05	Ritodrine	NA	Approved	Cell signaling	Signal Transduction Modulators	GPCR signaling	ADRB2	NA	NA	NA	NA	Beta-2 Adrenergic Receptor Agonist	NA	NA	NA	NA	Agonist	Neurological Disorders	23239-51-2	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00015955-09	Salbutamol	NA	Approved	Cell signaling	Signal Transduction Modulators	GPCR signaling	ADRB2	NA	NA	NA	NA	Beta-2 Adrenergic Receptor Agonist	NA	NA	NA	NA	Agonist	Neurological Disorders	51022-70-9	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00024999-02	Procaterol	NA	Approved	Cell signaling	Signal Transduction Modulators	GPCR signaling	ADRB2	NA	NA	NA	NA	Beta-2 Adrenergic Receptor Agonist	NA	NA	NA	NA	Agonist	Neurological Disorders	62929-91-3	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00095150-07	Telmisartan	BAY-68-9291	Approved	Cell signaling	Signal Transduction Modulators	GPCR signaling	AGTR1	PPARA	PPARG	NA	NA	Angiotensin AT1 Receptor Antagonist	Peroxisome proliferator-activated receptor alpha Partial Agonist	Peroxisome proliferator-activated receptor gamma Modulator	NA	NA	Antagonist	Cardiovascular Disorders	144701-48-4	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00246968-02	Olmesartan	RNH-6270	Approved	Cell signaling	Signal Transduction Modulators	GPCR signaling	AGTR1	NA	NA	NA	NA	Angiotensin AT1 Receptor Antagonist	NA	NA	NA	NA	Antagonist	Cardiovascular Disorders	144689-24-7	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00344564-02	Diosmin	NA	Approved	Transcription regulation	Signal Transduction Modulators	Transcription factor	AHR	NA	NA	NA	NA	Aryl Hydrocarbon Receptor Agonist	NA	NA	NA	NA	Agonist	Metabolic Disorders	520-27-4	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00263553-02	StemRegenin 1	SR-1	Preclinical	Transcription regulation	Signal Transduction Modulators	Transcription factor	AHR	NA	NA	NA	NA	Aryl Hydrocarbon Receptor Antagonist	NA	NA	NA	NA	Antagonist	Metabolic Disorders	1227633-49-9	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00164613-03	Epalrestat	Ono-2235	Approved	Metabolism	NA	Glucose metabolism	AKR1B1	NA	NA	NA	NA	Aldose Reductase Inhibitor	NA	NA	NA	NA	Inhibitor	Metabolic Disorders	82159-09-9	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00017245-12	Ellagic acid	LTK-20	Preclinical	Metabolism	Antioxidants|Apoptosis Inducers|	Glucose metabolism	AKR1B1	NA	NA	NA	NA	Aldose Reductase Inhibitor	Drugs Targeting on Quorum Sensing Signaling	Viral HIV Integrase Inhibitor	Viral Reverse Transcriptase (HIV-1) Inhibitor	Viral Serine Protease NS3/Non-Structural Protein 4A (HCV) Inhibitor	Inhibitor	Metabolic Disorders	476-66-4	NA	NA	NA	NA	TRUE	FALSE	FALSE
NCGC00024631-01	EBPC	NA	Preclinical	Metabolism	NA	Glucose metabolism	AKR1B1	NA	NA	NA	NA	Aldose Reductase Inhibitor	NA	NA	NA	NA	Inhibitor	Metabolic Disorders	4450-98-0	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00094818-08	Hexestrol	NA	Preclinical	Metabolism	NA	Glucose metabolism	AKR1C1	NA	NA	NA	NA	Aldo-Keto Reductase family 1 member C1 Inhibitor	NA	NA	NA	NA	Inhibitor	Metabolic Disorders	84-16-2	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00186465-01	MK-2206	NA	Approved	Cell signaling	Signal Transduction Modulators	Kinase	AKT1	NA	NA	NA	NA	AKT serine/threonine kinase Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	173334-58-2	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00263181-01	GSK-690693	NA	Phase I	Cell signaling	Signal Transduction Modulators	Kinase	AKT1	AKT2	AKT3	NA	NA	AKT serine/threonine kinase Inhibitor	AKT serine/threonine kinase 2 Inhibitor	AKT serine/threonine kinase 3 Inhibitor	NA	NA	Inhibitor	Oncology	937174-76-0	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00346450-01	Triciribine phosphate	NSC-280594	Phase I/II	Cell signaling	NA	Kinase	AKT1	NA	NA	NA	NA	AKT serine/threonine kinase Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	61966-08-3	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00345795-01	Capivasertib	AZD-5363	Phase II	Cell signaling	Apoptosis Inducers|Signal Transduction Modulators|	Kinase	AKT1	AKT2	AKT3	RPS6KB1	NA	AKT serine/threonine kinase Inhibitor	AKT serine/threonine kinase 2 Inhibitor	AKT serine/threonine kinase 3 Inhibitor	Ribosomal Protein S6 Kinase beta Inhibitor	NA	Inhibitor	Oncology	1143532-39-1	NA	NA	NA	NA	TRUE	FALSE	TRUE
NCGC00346714-01	Ipatasertib	NA	Phase III	Cell signaling	Signal Transduction Modulators	Kinase	AKT1	AKT2	AKT3	NA	NA	AKT serine/threonine kinase Inhibitor	AKT serine/threonine kinase 2 Inhibitor	AKT serine/threonine kinase 3 Inhibitor	NA	NA	Inhibitor	Oncology	1001264-89-6	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00092314-04	Triciribine	NSC-154020	Preclinical	Cell signaling	Signal Transduction Modulators	Kinase	AKT1	NA	NA	NA	NA	AKT serine/threonine kinase Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	35943-35-2	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00165727-02	AKT Inhibitor VIII	NA	Preclinical	Cell signaling	Apoptosis Inducers|Signal Transduction Modulators|	Kinase	AKT1	AKT2	NA	NA	NA	AKT serine/threonine kinase 1 Inhibitor	AKT serine/threonine kinase 2 Inhibitor	NA	NA	NA	Inhibitor	Oncology	612847-09-3	NA	NA	NA	NA	TRUE	FALSE	TRUE
NCGC00263147-01	A-674563	NA	Preclinical	Cell signaling	Signal Transduction Modulators	Kinase	AKT1	NA	NA	NA	NA	AKT serine/threonine kinase 1 Inhibitor	cAMP-Dependent Protein kinaseA Inhibitor	NA	NA	NA	Inhibitor	Oncology	552325-73-2	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00345822-01	Akt-I-1	NA	Preclinical	Cell signaling	NA	Kinase	AKT1	NA	NA	NA	NA	AKT serine/threonine kinase 1 Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	473382-39-7	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00345823-01	Akt-I-1,2	NA	Preclinical	Cell signaling	NA	Kinase	AKT1	AKT2	AKT3	NA	NA	AKT serine/threonine kinase Inhibitor	AKT serine/threonine kinase 2 Inhibitor	AKT serine/threonine kinase 3 Inhibitor	NA	NA	Inhibitor	Oncology	473382-50-2	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00345856-01	AZD-26	NA	Preclinical	Cell signaling	Signal Transduction Modulators	Kinase	AKT1	NA	NA	NA	NA	AKT serine/threonine kinase 1 Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	1357158-81-6	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00346549-01	AT-7867	NA	Preclinical	Cell signaling	Signal Transduction Modulators	Kinase	AKT1	AKT2	AKT3	ROCK2	NA	AKT serine/threonine kinase Inhibitor	AKT serine/threonine kinase 2 Inhibitor	AKT serine/threonine kinase 3 Inhibitor	Rho-associated protein kinase 2 Inhibitor	NA	Inhibitor	Oncology	857531-00-1	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00346621-01	CCT-128930	NA	Preclinical	Cell signaling	Signal Transduction Modulators	Kinase	AKT1	NA	NA	RPS6KB1	NA	AKT serine/threonine kinase Inhibitor	Rho-associated protein kinase Inhibitor	cAMP-Dependent Protein Kinase A Inhibitor	Ribosomal Protein S6 Kinase beta Inhibitor	NA	Inhibitor	Oncology	885499-61-6	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00347278-01	A-443654	NA	Preclinical	Cell signaling	Apoptosis Inducers|Signal Transduction Modulators|	Kinase	AKT1	NA	NA	NA	NA	AKT serine/threonine kinase 1 Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	552325-16-3	NA	NA	NA	NA	TRUE	FALSE	TRUE
NCGC00016000-10	Disulfiram	NA	Approved	Cell homeostasis	Signal Transduction Modulators	Dehydrogenase	ALDH2	ALDH2	DNMT1	TPRA1	NA	Aldehyde Dehydrogenase-2 Inhibitor	Aldehyde Dehydrogenase-2 Inhibitor	DNA (cytosine-5)-methyltransferase 1 Inhibitor	Transient receptor potential cation channel subfamily A member 1 Agonist	NA	Inhibitor	Metabolic Disorders	97-77-8	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00163532-01	Daidzin	NA	Preclinical	Cell homeostasis	NA	Dehydrogenase	ALDH2	NA	NA	NA	NA	Aldehyde Dehydrogenase-2 Inhibitor	NA	NA	NA	NA	Inhibitor	Metabolic Disorders	552-66-9	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00250400-01	Crizotinib	PF-02341066	Approved	Cell signaling	Signal Transduction Modulators	Kinase	ALK	ALK	IL6	ALK	MET	ALK Tyrosine Kinase Receptor Inhibitor	ALK Tyrosine kinaseReceptor (Leu1196Met Mutant) Inhibitor	Interleukin-6 Production Inhibitor	Echinoderm Microtubule-Associated Protein-like 4-ALK Tyrosine Kinase Receptor (EMT-ALK) Inhibitor	Hepatocyte Growth Factor Receptor Inhibitor	Inhibitor	Oncology	877399-52-5	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00346688-01	Alectinib	CH-5424802	Approved	Cell signaling	Signal Transduction Modulators	Kinase	ALK	ALK	ALK	NA	NA	ALK Tyrosine Kinase Receptor Inhibitor	ALK Tyrosine kinaseReceptor (Leu1196Met Mutant) Inhibitor	Echinoderm Microtubule-Associated Protein-like 4-ALK Tyrosine Kinase Receptor Inhibitor	NA	NA	Inhibitor	Oncology	1256580-46-7	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00345791-01	ASP-3026	NA	Discontinued	Cell signaling	Signal Transduction Modulators	Kinase	ALK	NA	NA	NA	NA	ALK Tyrosine Kinase Receptor Inhibitor	Echinoderm Microtubule-Associated Protein-like 4-ALK Tyrosine kinaseReceptor (EML4- ALK) Inhibitor	NA	NA	NA	Inhibitor	Oncology	1097917-15-1	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00238453-01	TAE-684	NA	Preclinical	Cell signaling	Signal Transduction Modulators	Kinase	ALK	ALK	TSSK2	LRRK2	ALK	ALK Tyrosine Kinase Receptor Inhibitor	ALK Tyrosine kinaseReceptor (Leu1196Met Mutant) Inhibitor	Testis-specific serine/threonine-protein kinase 2	Leucine-Rich Repeat Kinase 2 Inhibitor	Nucleophosmin-ALK Tyrosine Kinase Receptor (NPM1-ALK) Inhibitor	Inhibitor	Oncology	761439-42-3	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00159453-06	Zileuton	NA	Approved	Cell homeostasis	Signal Transduction Modulators	Lipoxygenase	ALOX5	NA	NA	NA	NA	Arachidonate 5-Lipoxygenase Inhibitor	Leukotriene Synthesis Inhibitor	NA	NA	NA	Inhibitor	Metabolic Disorders	111406-87-2	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00250374-01	Licofelone	ML-3000	Phase III	Cell homeostasis	Signal Transduction Modulators	Lipoxygenase	ALOX5	PTGES	PTGS2	PTGS2	NA	Arachidonate 5-Lipoxygenase Inhibitor	Prostaglandin E synthase Inhibitor	Prostaglandin G/H Synthase 2 Inhibitor	Prostaglandin G/H Synthase 2 Inhibitor	NA	Inhibitor	Metabolic Disorders	156897-06-2	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00094112-06	6-Bromoindirubin-3'-oxime	BIO	Preclinical	Cell homeostasis	Apoptosis Inducers|Signal Transduction Modulators|	Lipoxygenase	ALOX5	GSK3A	NA	NA	NA	Arachidonate 5-Lipoxygenase Inhibitor	Glycogen Synthase kinase 3 alpha Inhibitor	NA	NA	NA	Inhibitor	Metabolic Disorders	667463-62-9	NA	NA	NA	NA	TRUE	FALSE	TRUE
NCGC00162249-04	MK-886	MK-886 sodium	Phase II	Cell homeostasis	Signal Transduction Modulators	Lipoxygenase	ALOX5AP	NA	NA	NA	NA	Arachidonate 5-Lipoxygenase-Activating Protein Inhibitor	Leukotriene Synthesis Inhibitor	PPAR Modulator	NA	NA	Inhibitor	Metabolic Disorders	118427-55-7	NA	NA	NA	NA	FALSE	FALSE	TRUE
